Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.001418,-0.00010076,0.050086,0,0,0,0.66248,0.00099641,3.2555E-06,-1.005E-05,0.0010163,1.2819E-06,0.00067925,0,0,0,0,0,0,package://rm_63_6f_description/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://rm_63_6f_description/meshes/base_link.STL,,63____1-1,baselink,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-0.043398,-0.0074204,-0.012727,0,0,0,0.92308,0.00093348,-0.00032512,0.00049759,0.0021248,0.00010864,0.001984,0,0,0,0,0,0,package://rm_63_6f_description/meshes/Link1.STL,1,1,1,1,0,0,0,0,0,0,package://rm_63_6f_description/meshes/Link1.STL,,63____2-1,Link1,axis1,joint1,revolute,0,0,0.172,0,0,0,base_link,0,0,1,100,1,-3.107,3.107,,,,,,,,
Link2,0.17251,-1.2589E-07,-0.090386,0,0,0,1.5577,0.0009796,-1.2068E-07,-2.8708E-05,0.026357,1.3036E-09,0.026573,0,0,0,0,0,0,package://rm_63_6f_description/meshes/Link2.STL,1,1,1,1,0,0,0,0,0,0,package://rm_63_6f_description/meshes/Link2.STL,,63____3-1,Link2,axis2,joint2,revolute,-0.086,0,0,1.5708,-1.5708,0,Link1,0,0,1,100,1,-3.107,3.107,,,,,,,,
Link3,0.036479,-0.021595,-0.0052425,0,0,0,0.71556,0.00081897,0.0004323,-0.00015721,0.0011167,9.5746E-05,0.0013828,0,0,0,0,0,0,package://rm_63_6f_description/meshes/Link3.STL,1,1,1,1,0,0,0,0,0,0,package://rm_63_6f_description/meshes/Link3.STL,,63____4-1,Link3,axis3,joint3,revolute,0.38,0,-0.00010023,0,0,1.5708,Link2,0,0,1,100,1,-3.107,2.531,,,,,,,,
Link4,-5.2717E-06,-0.033557,-0.18296,0,0,0,0.69692,0.0071528,-6.0923E-09,8.8515E-08,0.006708,0.0016525,0.00074662,0,0,0,0,0,0,package://rm_63_6f_description/meshes/Link4.STL,1,1,1,1,0,0,0,0,0,0,package://rm_63_6f_description/meshes/Link4.STL,,63____5-1,Link4,axis4,joint4,revolute,0.069,-0.405,9.9684E-05,1.5708,0,0,Link3,0,0,-1,100,1,-3.107,3.107,,,,,,,,
Link5,-2.2615E-07,0.02789,-0.0066313,0,0,0,0.3567,0.00041098,-8.4722E-09,-4.3897E-09,0.00017907,-8.7584E-05,0.00038034,0,0,0,0,0,0,package://rm_63_6f_description/meshes/Link5.STL,1,1,1,1,0,0,0,0,0,0,package://rm_63_6f_description/meshes/Link5.STL,,63____6-1,Link5,axis5,joint5,revolute,0,0,0,1.5708,0,3.1416,Link4,0,0,1,100,1,-3.107,3.107,,,,,,,,
Link6,-0.00032091,0.00017748,-0.028468,0,0,0,0.14814,7.2093E-05,-1.2989E-06,7.9524E-07,7.063E-05,-4.3017E-07,6.2819E-05,0,0,0,0,0,0,package://rm_63_6f_description/meshes/Link6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://rm_63_6f_description/meshes/Link6.STL,,______6F-______-1,Link6,axis6,joint6,revolute,0,0.1435,0,1.5708,0,-3.1416,Link5,0,0,-1,100,1,-6.283,6.283,,,,,,,,
