Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
baselink,0.00059982,-9.2932E-05,0.043301,0,0,0,0.61127,0.00080212,3.0281E-06,-2.8747E-05,0.00080502,1.9749E-06,0.00066167,0,0,0,0,0,0,package://eco65/meshes/ECO65/baselink.STL,1,1,0.9451,1,0,0,0,0,0,0,package://eco65/meshes/ECO65/baselink.STL,,1-1,baselink,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-0.022858,-2.0784E-06,-0.013658,0,0,0,0.74247,0.00081398,-1.9024E-05,0.00022746,0.001848,2.0444E-06,0.0015286,0,0,0,0,0,0,package://eco65/meshes/ECO65/Link1.STL,1,1,0.9451,1,0,0,0,0,0,0,package://eco65/meshes/ECO65/Link1.STL,,2-1,Link1,axis1,joint1,revolute,0,0,0.1625,0,0,0,baselink,0,0,1,100,1,-3.14,3.14,,,,,,,,
Link2,-1.6049E-06,0.10336,0.067332,0,0,0,1.3502,0.012821,-7.2979E-08,1.1499E-08,0.0011237,-0.00033755,0.012933,0,0,0,0,0,0,package://eco65/meshes/ECO65/Link2.STL,1,1,0.9451,1,0,0,0,0,0,0,package://eco65/meshes/ECO65/Link2.STL,,3-1,Link2,axis2,joint2,revolute,-0.086,0,0,1.5708,0,0,Link1,0,0,1,100,1,-3.14,3.14,,,,,,,,
Link3,0.10374,7.0495E-07,0.018599,0,0,0,1.0422,0.00084115,-2.2514E-08,-0.00068613,0.0094046,-3.3287E-09,0.0092482,0,0,0,0,0,0,package://eco65/meshes/ECO65/Link3.STL,1,1,0.9451,1,0,0,0,0,0,0,package://eco65/meshes/ECO65/Link3.STL,,4-1,Link3,axis3,joint3,revolute,0,0.26,0,3.1416,0,1.5708,Link2,0,0,1,100,1,-2.79,2.53,,,,,,,,
Link4,-0.0069819,-0.016328,0.0067416,0,0,0,0.27383,0,0,0,0,0,0,0,0,0,0,0,0,package://eco65/meshes/ECO65/Link4.STL,1,1,0.9451,1,0,0,0,0,0,0,package://eco65/meshes/ECO65/Link4.STL,,5-1,Link4,axis4,joint4,revolute,0.24,0,-0.05888,0,0,1.5708,Link3,0,0,1,100,1,-2.44,2.44,,,,,,,,
Link5,-0.00040425,0.0066328,-0.012475,0,0,0,0.27794,0.00024751,-5.6849E-09,5.4838E-10,0.00017648,-2.8552E-05,0.00019295,0,0,0,0,0,0,package://eco65/meshes/ECO65/Link5.STL,0.29804,0.28627,0.28235,1,0,0,0,0,0,0,package://eco65/meshes/ECO65/Link5.STL,,6-1,Link5,axis5,joint5,revolute,0.00040486,-0.10983,0,1.5708,0,0,Link4,0,0,1,100,1,-3.14,3.14,,,,,,,,
Link6,0.00095587,-0.0013555,-0.010297,0,0,0,0.033025,1.2968E-05,-7.8692E-07,8.451E-08,1.1583E-05,-1.2002E-07,2.0405E-05,0,0,0,0,0,0,package://eco65/meshes/ECO65/Link6.STL,1,1,0.9451,1,0,0,0,0,0,0,package://eco65/meshes/ECO65/Link6.STL,,00-1,Link6,axis6,joint6,revolute,0,0.0795,0,-1.5708,0,0,Link5,0,0,1,100,1,-3.14,3.14,,,,,,,,
