Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000806187097213584,-0.00406745447829854,2.55156913070431E-07,0,0,0,39.1303313785312,1.11126462075485,0.00879854623714752,-2.16116580137798E-06,1.55033827871687,1.25945693689869E-06,1.81485378829434,0,0,0,0,0,0,package://microwave-oven/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://microwave-oven/meshes/base_link.STL,,分割1[6]-1;分割1[1]-1;Raccordo6-2;Raccordo6-4;分割1[5]-1;Raccordo6-3;Raccordo6-1,坐标系3,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.177,0.097,0.015,0,0,0,0.747,0.004248402,3.45498202963812E-19,-1.23871578503835E-19,0.011457522,-4.86691242862491E-20,0.015593874,0,0,0,0,0,0,package://microwave-oven/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://microwave-oven/meshes/link1.STL,,分割1[4]-1,坐标系2,基准轴1,joint1,revolute,0.21923,0.19807,-0.097013,1.5708,0,3.1416,base_link,0,1,0,0,0,-1.57,1.57,,,,,,,,
