Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.313537640353887,1.34225796669673,0.402818397418737,0,0,0,182.199456226381,34.1515019338191,-0.0795734538173952,-0.397765483189175,14.7254347378066,-0.0283456865477044,33.4037867750965,0,0,0,0,0,0,package://kitchen_assembly/meshes/base_link.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://kitchen_assembly/meshes/base_link.STL,,Kuhinja-1,坐标系9,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.027339,0.02679,-0.14305,0,0,0,0.52332,0.0067791,-0.00096258,0.00094621,0.0054549,0.0022785,0.0028764,0,0,0,0,0,0,package://kitchen_assembly/meshes/link1.STL,0.66667,0.69804,0.76863,1,0,0,0,0,0,0,package://kitchen_assembly/meshes/link1.STL,,Blanco Linus S512402-1,坐标系4,基准轴1,joint1,revolute,0.16134,0.63462,0.75051,-3.1416,0,1.5708,base_link,0,0,1,0,0,-1.57,1.57,,,,,,,,
link2,-0.019489,-0.17854,0.085513,0,0,0,1.609,0.034401,-3.9494E-05,0.010759,0.08397,3.6388E-05,0.10488,0,0,0,0,0,0,package://kitchen_assembly/meshes/link2.STL,0.66667,0.69804,0.76863,1,0,0,0,0,0,0,package://kitchen_assembly/meshes/link2.STL,,Franke ETN 614-1,坐标系5,,joint2,fixed,0.14743,0.71981,0.60301,0,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
link3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://kitchen_assembly/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://kitchen_assembly/meshes/link3.STL,,Beko HII 64500 FHT-2,坐标系8,Axis_joint3,joint3,fixed,0.0585000000000488,1.82327999999997,0.71051,0,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
