Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00059974,-9.2907E-05,0.043301,0,0,0,0.61127,0.00080212,3.0274E-06,-2.8744E-05,0.00080501,1.9741E-06,0.00066167,0,0,0,0,0,0,package://eco65/meshes/base_link.STL,1,1,0.9451,1,0,0,0,0,0,0,package://eco65/meshes/base_link.STL,,1-1,baselink,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-0.0228563669572814,-4.99910293902505E-06,-0.0136576161182959,0,0,0,0.74252212802658,0.000814086083162491,-1.88391181098273E-05,0.000227472474818497,0.00184803352381529,1.99528907338362E-06,0.0015286811412048,0,0,0,0,0,0,package://eco65/meshes/Link1.STL,1,1,0.945098039215686,1,0,0,0,0,0,0,package://eco65/meshes/Link1.STL,,2-1,Link1,axis1,Joint1,revolute,0,0,0.1625,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
Link2,-1.59429561677471E-06,0.103362466937216,0.0673319328195465,0,0,0,1.35020712394805,0.0128209817127053,-7.51100910647581E-08,1.16164018082653E-08,0.00112367171816591,-0.000337549701469296,0.0129325779698663,0,0,0,0,0,0,package://eco65/meshes/Link2.STL,1,1,0.945098039215686,1,0,0,0,0,0,0,package://eco65/meshes/Link2.STL,,3-1,Link2,axis2,Joint2,revolute,-0.086,0,0,1.5708,0,0,Link1,3.5522E-05,0,-1,0,0,0,0,,,,,,,,
Link3,0.103737203833717,6.75061995081272E-07,0.0185992268684813,0,0,0,1.0422213139163,0.000841150491675703,-2.19673641011106E-08,-0.000686133542349963,0.00940465035102768,-2.88314026692745E-09,0.00924817189739541,0,0,0,0,0,0,package://eco65/meshes/Link3.STL,1,1,0.945098039215686,1,0,0,0,0,0,0,package://eco65/meshes/Link3.STL,,4-1,Link3,axis3,Joint3,revolute,0,0.26,0,3.1416,0,1.5708,Link2,0,-3.5522E-05,-1,0,0,0,0,,,,,,,,
Link4,-0.00698041126858398,-0.0163300774411825,0.00674302075461098,0,0,0,0.273792481713346,0,0,0,0,0,0,0,0,0,0,0,0,package://eco65/meshes/Link4.STL,1,1,0.945098039215686,1,0,0,0,0,0,0,package://eco65/meshes/Link4.STL,,5-1,Link4,axis4,Joint4,revolute,0.24,0,-0.05888,0,0,1.5708,Link3,-3.5522E-05,0,-1,0,0,0,0,,,,,,,,
Link5,5.97905018565048E-07,0.00665014405373091,-0.0126472033135854,0,0,0,0.27793758472494,0.000247512115419683,-5.76598099571412E-09,5.25510533068683E-10,0.000176476753838992,-2.85521641162257E-05,0.000192954294679699,0,0,0,0,0,0,package://eco65/meshes/Link5.STL,0.298039215686275,0.286274509803922,0.282352941176471,1,0,0,0,0,0,0,package://eco65/meshes/Link5.STL,,6-1,Link5,axis5,Joint5,revolute,0,-0.11,-1.7417E-05,1.5708,0,0,Link4,0,0,-1,0,0,0,0,,,,,,,,
Link6,0.000342343794440939,-0.000189420093943737,-0.0285766702366254,0,0,0,0.14611108984048,7.05928109974802E-05,-1.19201783223218E-06,-8.08327801418456E-07,6.9259426871958E-05,4.34362652271675E-07,6.18079595264477E-05,0,0,0,0,0,0,package://eco65/meshes/Link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://eco65/meshes/Link6.STL,,7-1,Link6,axis6,Joint6,revolute,0,0.108,0,-1.5708,0,0,Link5,-3.5522E-05,0,-1,0,0,0,0,,,,,,,,
