Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-4.39760849925142E-05,0.105729139900029,0.0275389837423639,0,0,0,580.455252152826,48.9714320407694,0.015429122039624,-0.0368901575236029,62.7979368163053,-0.752361452068393,52.023508001152,0,0,0,0,0,0,package://dishwisher/meshes/base_link.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://dishwisher/meshes/base_link.STL,,Bocne strane i prednji dio-1;Unutrasnja guma-1;Gornji dio-1;Unutrasnje cijevi-1;Gornji rasprsivac-2;Rasprsivac-1;Filter-1;Motor i pumpa-1;Plutajuci ventil-1;Grijac-1;Unutrasnji dio-1,坐标系2,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.275057357630441,-0.277847464664124,0.225907441312431,0,0,0,126.317119956246,4.41323347425015,0.00209040071762806,-0.0011522766147734,4.62286442705941,2.07424817150991,6.00005579239379,0,0,0,0,0,0,package://dishwisher/meshes/link1.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://dishwisher/meshes/link1.STL,,Vrata-1,坐标系3,基准轴1,joint1,revolute,-0.27486,-0.20985,-0.35073,0,0,0,base_link,1,0,0,0,0,-1.57,1.57,,,,,,,,
link2,-5.52871263489463E-05,-0.0499352677365905,0.0217687775834519,0,0,0,1.66002747123097,0.0515702398565812,-5.94222398280139E-09,5.33785150395627E-06,0.0515702417345417,-6.65630453042583E-06,0.0984568998085799,0,0,0,0,0,0,package://dishwisher/meshes/link2.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://dishwisher/meshes/link2.STL,,Posuda-1,坐标系5,基准轴2,joint2,prismatic,0.050139,0.070153,-0.22109,0,0,-1.5708,base_link,-1,0,0,0,0,0,3,,,,,,,,
link3,-5.52871263456156E-05,-0.0499352677364462,0.0217687775834396,0,0,0,1.66002747123082,0.0515702398565785,-5.94219854501972E-09,5.33785150390082E-06,0.0515702417345241,-6.65630454185178E-06,0.0984568998085609,0,0,0,0,0,0,package://dishwisher/meshes/link3.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://dishwisher/meshes/link3.STL,,Posuda-2,坐标系6,基准轴3,joint3,prismatic,0.050139,0.070153,0.04627,0,0,-1.5708,base_link,-1,0,0,0,0,0,3,,,,,,,,
